1\t6,7\t\t1
1\t8\t\t1
1\t16\tservice\t1
3\t2\t\t1
4\t4\t\t1
6\t1,2\tservice\t1
6\t3\tservice\t1
6\t4\tservice\t1
6\t11\tservice\t1
